subject,pattern,pat_prblty,cue1,cue2,cue3,cue4,start_time,RT,trial_outcome,response,accuracy
6200,12,0.077,0,0,3,4,837157.1311931,837299.228042,0,0,1
6200,8,0.105,0,2,3,4,837157.1311931,837301.7435004,0,1,0
6200,14,0.105,0,0,0,4,837157.1311931,837303.5941879,0,0,1
6200,12,0.077,0,0,3,4,837157.1311931,837305.677944,0,0,1
6200,7,0.895,1,0,0,0,837157.1311931,837307.5614355,1,0,0
6200,10,0.167,0,2,0,4,837157.1311931,837309.96147,1,0,0
6200,7,0.895,1,0,0,0,837157.1311931,837311.9947846,1,1,1
6200,14,0.105,0,0,0,4,837157.1311931,837314.9780089,0,0,1
6200,11,0.556,0,2,0,0,837157.1311931,837317.0779278,0,1,0
6200,13,0.444,0,0,3,0,837157.1311931,837318.9779489,0,0,1
6200,3,0.923,1,2,0,0,837157.1311931,837321.0946823,1,1,1
6200,4,0.222,1,0,3,4,837157.1311931,837323.5780615,0,0,1
6200,5,0.833,1,0,3,0,837157.1311931,837325.6602325,1,0,0
6200,12,0.077,0,0,3,4,837157.1311931,837329.3781139,0,0,1
6200,3,0.923,1,2,0,0,837157.1311931,837331.8946181,1,1,1
6200,1,0.895,1,2,3,0,837157.1311931,837335.7447517,1,0,0
6200,10,0.167,0,2,0,4,837157.1311931,837340.2113085,0,0,1
6200,7,0.895,1,0,0,0,837157.1311931,837342.8273371,0,0,1
6200,12,0.077,0,0,3,4,837157.1311931,837345.9947296,1,1,1
6200,8,0.105,0,2,3,4,837157.1311931,837348.193471,0,1,0
6200,12,0.077,0,0,3,4,837157.1311931,837351.1445284,0,0,1
6200,2,0.778,1,2,0,4,837157.1311931,837353.8618753,1,1,1
6200,5,0.833,1,0,3,0,837157.1311931,837356.2114647,1,1,1
6200,1,0.895,1,2,3,0,837157.1311931,837358.9275595,1,1,1
6200,3,0.923,1,2,0,0,837157.1311931,837361.028114,0,0,1
6200,1,0.895,1,2,3,0,837157.1311931,837363.1767067,1,1,1
6200,14,0.105,0,0,0,4,837157.1311931,837365.2600049,0,0,1
6200,12,0.077,0,0,3,4,837157.1311931,837367.3781712,0,0,1
6200,5,0.833,1,0,3,0,837157.1311931,837369.3448105,1,1,1
6200,11,0.556,0,2,0,0,837157.1311931,837371.9447912,1,0,0
6200,6,0.5,1,0,0,4,837157.1311931,837375.661481,1,0,0
6200,5,0.833,1,0,3,0,837157.1311931,837378.8780511,1,0,0
6200,10,0.167,0,2,0,4,837157.1311931,837381.4451061,0,0,1
6200,12,0.077,0,0,3,4,837157.1311931,837383.3767283,0,0,1
6200,8,0.105,0,2,3,4,837157.1311931,837386.8615573,0,0,1
6200,13,0.444,0,0,3,0,837157.1311931,837388.8280963,0,0,1
6200,8,0.105,0,2,3,4,837157.1311931,837392.4780563,1,0,0
6200,10,0.167,0,2,0,4,837157.1311931,837394.6435126,0,1,0
6200,11,0.556,0,2,0,0,837157.1311931,837397.0947291,1,0,0
6200,8,0.105,0,2,3,4,837157.1311931,837399.3434636,0,0,1
6200,3,0.923,1,2,0,0,837157.1311931,837401.7115293,1,0,0
6200,9,0.5,0,2,3,0,837157.1311931,837403.7282412,1,0,0
6200,7,0.895,1,0,0,0,837157.1311931,837406.1449027,1,1,1
6200,12,0.077,0,0,3,4,837157.1311931,837408.2767789,0,0,1
6200,13,0.444,0,0,3,0,837157.1311931,837410.361395,1,0,0
6200,14,0.105,0,0,0,4,837157.1311931,837412.3615722,0,0,1
6200,12,0.077,0,0,3,4,837157.1311931,837415.6614452,0,0,1
6200,14,0.105,0,0,0,4,837157.1311931,837419.1120353,0,0,1
6200,7,0.895,1,0,0,0,837157.1311931,837421.0780548,1,1,1
6200,3,0.923,1,2,0,0,837157.1311931,837424.2781142,1,1,1
6200,7,0.895,1,0,0,0,837157.1311931,837426.6614721,1,1,1
6200,3,0.923,1,2,0,0,837157.1311931,837429.9281555,1,0,0
6200,4,0.222,1,0,3,4,837157.1311931,837433.2936248,0,1,0
6200,1,0.895,1,2,3,0,837157.1311931,837435.4612534,1,1,1
6200,8,0.105,0,2,3,4,837157.1311931,837437.6937331,0,0,1
6200,1,0.895,1,2,3,0,837157.1311931,837440.3435387,1,0,0
6200,3,0.923,1,2,0,0,837157.1311931,837442.2602202,1,1,1
6200,13,0.444,0,0,3,0,837157.1311931,837444.3940388,0,0,1
6200,14,0.105,0,0,0,4,837157.1311931,837446.2103188,0,0,1
6200,7,0.895,1,0,0,0,837157.1311931,837448.1947021,1,1,1
6200,3,0.923,1,2,0,0,837157.1311931,837450.3281824,1,0,0
6200,12,0.077,0,0,3,4,837157.1311931,837452.3102309,0,1,0
6200,8,0.105,0,2,3,4,837157.1311931,837454.3935541,0,1,0
6200,13,0.444,0,0,3,0,837157.1311931,837456.1279802,1,0,0
6200,14,0.105,0,0,0,4,837157.1311931,837457.3769839,0,0,1
6200,1,0.895,1,2,3,0,837157.1311931,837459.1768777,1,1,1
6200,12,0.077,0,0,3,4,837157.1311931,837461.028063,0,0,1
